	_id	name	date	lineages
95	pmid33068260	A Crowned Killer's Résumé: Genome, Structure, Receptors, and Origin of SARS-CoV-2.	2021-02-15 00:00:00	sars-cov-2 beta variant
97	pmid32859121	SARS-CoV-2 Spike 1 Protein Controls Natural Killer Cell Activation via the HLA-E/NKG2A Pathway.	2020-08-21 00:00:00	sars-cov-2 gamma variant
1	pmid34056743	Using remote consultation to enhance diagnostic accuracy of bedside transthoracic echocardiography during COVID-19 pandemic.	2021-04-20 00:00:00	sars-cov-2 kappa variant
47	pmid33043282	Furin: A Potential Therapeutic Target for COVID-19.	2020-08-24 00:00:00	sars-cov-2 beta variant
81	pmid33615042	A comparative genomics-based study of positive strand RNA viruses emphasizing on SARS-CoV-2 utilizing dinucleotide signature, codon usage and codon context analyses.	2021-01-20 00:00:00	sars-cov-2 beta variant
79	2020.07.10.197079	Comprehensive in-vivo secondary structure of SARS-CoV-2 genome reveals novel regulatory motifs and mechanisms	2020-07-10 00:00:00	sars-cov-2 beta variant
87	pmid34054510	β-Caryophyllene, A Natural Dietary CB2 Receptor Selective Cannabinoid can be a Candidate to Target the Trinity of Infection, Immunity, and Inflammation in COVID-19.	2021-06-01 00:00:00	sars-cov-2 beta variant
95	2021.06.23.21259327	Reduced neutralisation of the Delta (B.1.617.2) SARS-CoV-2 variant of concern following vaccination	2021-06-28 00:00:00	sars-cov-2 delta variant
44	pmid32560745	Letter to the editor: efficacy of different methods of combination regimen administrations including dexamethasone, intravenous immunoglobulin, and interferon-beta to treat critically ill COVID-19 patients: a structured summary of a study protocol for a randomized controlled trial.	2020-12-10 00:00:00	sars-cov-2 beta variant
88	pmid33292850	Development and implementation of an end-of-shift clinical debriefing method for emergency departments during COVID-19.	2020-12-11 00:00:00	sars-cov-2 delta variant
68	pmid33298897	Antihypertensive drugs are associated with reduced fatal outcomes and improved clinical characteristics in elderly COVID-19 patients.	2020-06-30 00:00:00	sars-cov-2 beta variant
48	pmid33495522	A higher BMI is not associated with a different immune response and disease course in critically ill COVID-19 patients.	2020-11-02 00:00:00	sars-cov-2 gamma variant
22	pmid33091672	Nano-sized formazan analogues: Synthesis, structure elucidation, antimicrobial activity and docking study for COVID-19.	2020-09-12 00:00:00	sars-cov-2 theta variant
36	pmid32574273	Symptomatic Protective Action of Glycyrrhizin (Licorice) in COVID-19 Infection?	2020-12-10 00:00:00	sars-cov-2 beta variant
17	pmid32890913	Phillyrin (KD-1) exerts anti-viral and anti-inflammatory activities against novel coronavirus (SARS-CoV-2) and human coronavirus 229E (HCoV-229E) by suppressing the nuclear factor kappa B (NF-κB) signaling pathway.	2020-07-21 00:00:00	sars-cov-2 kappa variant
77	pmid32566574	The epidemiologic and clinical features of suspected and confirmed cases of imported 2019 novel coronavirus pneumonia in north Shanghai, China.	2020-09-28 00:00:00	sars-cov-2 beta variant
0	pmid32391671	[Pregnant women complicated with COVID-19: a clinical analysis of 3 cases].	2020-07-31 00:00:00	sars-cov-2 gamma variant
61	pmid32772375	Pandemic printing: a novel 3D-printed swab for detecting SARS-CoV-2.	2021-01-10 00:00:00	sars-cov-2 gamma variant
10	pmid32921721	RT-qPCR assays based on saliva rather than on nasopharyngeal swabs are possible but should be interpreted with caution: results from a systematic review and meta-analysis.	2020-09-22 00:00:00	sars-cov-2 kappa variant
22	2021.03.10.21253324	Dynamic versus Continuous Interventions: Optimizing Lockdown Policies for COVID-19	2021-03-12 00:00:00	sars-cov-2 beta variant
25	2020.10.14.20212878	Integration of Kalman filter in the epidemiological model: a robust approach to predict COVID-19 outbreak in Bangladesh	2020-10-20 00:00:00	sars-cov-2 delta variant
61	pmid32522282	Proactive Prophylaxis With Azithromycin and HydroxyChloroquine in Hospitalised Patients With COVID-19 (ProPAC-COVID): A structured summary of a study protocol for a randomised controlled trial.	2020-12-10 00:00:00	sars-cov-2 beta variant
77	2021.04.02.437747	XAV-19, a novel swine glyco-humanized polyclonal antibody against SARS-CoV-2 spike, efficiently neutralizes B.1.1.7 British and B.1.351 South-African variants.	2021-04-05 00:00:00	sars-cov-2 beta variant
61	2020.11.26.20238733	Automated Western immunoblotting detection of anti-SARS-CoV-2 serum antibodies.	2020-11-30 00:00:00	sars-cov-2 kappa variant
99	2020.05.18.099507	Afucosylated immunoglobulin G responses are a hallmark of enveloped virus infections and show an exacerbated phenotype in COVID-19	2020-05-18 00:00:00	sars-cov-2 gamma variant
16	pmid33436435	Preserve a Voucher Specimen! The Critical Need for Integrating Natural History Collections in Infectious Disease Studies.	2021-01-14 00:00:00	sars-cov-2 beta variant
30	pmid34222718	The antiviral activity of iota-, kappa-, and lambda-carrageenan against COVID-19: A critical review.	2021-05-22 00:00:00	sars-cov-2 iota variant
30	pmid34222718	The antiviral activity of iota-, kappa-, and lambda-carrageenan against COVID-19: A critical review.	2021-05-22 00:00:00	sars-cov-2 kappa variant
30	pmid34222718	The antiviral activity of iota-, kappa-, and lambda-carrageenan against COVID-19: A critical review.	2021-05-22 00:00:00	sars-cov-2 lambda variant
56	pmid32848011	Development and Clinical Application of a Rapid and Sensitive Loop-Mediated Isothermal Amplification Test for SARS-CoV-2 Infection.	2020-12-10 00:00:00	sars-cov-2 kappa variant
72	pmid33526979	Impact on physical and mental health among medical personnel in Wuhan during COVID-19 outbreak: a cluster analysis.	2021-02-05 00:00:00	cluster 5
90	pmid32918855	SARS-CoV-2 multifaceted interaction with human host. Part I: What we have learnt and done so far, and the still unknown realities.	2020-08-07 00:00:00	sars-cov-2 beta variant
92	pmid32738988	The SARS-CoV-2 main protease as drug target.	2020-06-27 00:00:00	sars-cov-2 beta variant
11	pmid32989996	Novel unorthodox strategies to reduce the case fatality rate of COVID-19 in high risk groups.	2020-10-05 00:00:00	sars-cov-2 beta variant
15	pmid33599684	Design and Multicenter Clinical Validation of a 3-Dimensionally Printed Nasopharyngeal Swab for SARS-CoV-2 Testing.	2021-02-18 00:00:00	sars-cov-2 delta variant
44	2020.12.03.409318	A SARS-CoV-2 neutralizing antibody selected from COVID-19 patients by phage display is binding to the ACE2-RBD interface and is tolerant to known RBD mutations	2020-12-03 00:00:00	sars-cov-2 beta variant
44	2020.12.03.409318	A SARS-CoV-2 neutralizing antibody selected from COVID-19 patients by phage display is binding to the ACE2-RBD interface and is tolerant to known RBD mutations	2020-12-03 00:00:00	sars-cov-2 gamma variant
65	2021.01.21.21250228	Simulating the impact of different vaccination policies on the COVID-19 pandemic in New York City	2021-01-22 00:00:00	sars-cov-2 alpha variant
44	pmid33654337	SAFETY PROFILE OF TREATMENTS ADMINISTERED IN COVID 19 INFECTION IN PREGNANT WOMEN.	2021-03-03 00:00:00	sars-cov-2 beta variant
33	pmid33072187	Physical activity moderates the association between parenting stress and quality of life in working mothers during the COVID-19 pandemic.	2020-09-18 00:00:00	sars-cov-2 beta variant
81	pmid33293906	The Fear of COVID-19 Scale: Psychometric Properties of the Ethiopian Amharic Version.	2020-12-10 00:00:00	sars-cov-2 lambda variant
82	pmid33843043	Impact of the presence of heart disease, cardiovascular medications and cardiac events on outcome in COVID-19.	2021-02-23 00:00:00	sars-cov-2 beta variant
15	pmid33461215	Ligand-based approach for predicting drug targets and for virtual screening against COVID-19.	2020-11-18 00:00:00	sars-cov-2 beta variant
16	2020.03.24.20043075	Prevalence and Factors Associated with Depression and Anxiety of Hospitalized Patients with COVID-19	2020-03-30 00:00:00	sars-cov-2 beta variant
63	2020.05.28.122291	SARS-CoV-2 infection induces EMT-like molecular changes, including ZEB1-mediated repression of the viral receptor ACE2, in lung cancer models	2020-05-29 00:00:00	sars-cov-2 beta variant
67	pmid33103907	Evidence of Structural Protein Damage and Membrane Lipid Remodeling in Red Blood Cells from COVID-19 Patients.	2020-12-18 00:00:00	sars-cov-2 beta variant
95	pmid33546111	Shedding Light on the Main Characteristics and Perspectives of Romanian Medicinal Oxygen Market.	2021-01-25 00:00:00	sars-cov-2 gamma variant
44	pmid34244421	Minute-scale detection of SARS-CoV-2 using a low-cost biosensor composed of pencil graphite electrodes.	2021-07-10 00:00:00	sars-cov-2 alpha variant
2	pmid32679691	Rapid Quantification of SARS-CoV-2-Neutralizing Antibodies Using Propagation-Defective Vesicular Stomatitis Virus Pseudotypes.	2020-07-10 00:00:00	sars-cov-2 beta variant
41	2020.04.02.20050922	Inferring COVID-19 spreading rates and potential change points for case number forecasts	2020-04-06 00:00:00	sars-cov-2 lambda variant
16	pmid32551877	Is sweat a possible route of transmission of SARS-CoV-2?	2020-07-22 00:00:00	sars-cov-2 beta variant
56	pmid32575958	Spatiotemporal distribution and trend of COVID-19 in the Yangtze River Delta region of the People's Republic of China.	2020-09-23 00:00:00	sars-cov-2 delta variant
3	pmid33192602	Beta-Adrenergic Receptor Stimulation Modulates the Cellular Proarrhythmic Effects of Chloroquine and Azithromycin.	2020-11-17 00:00:00	sars-cov-2 beta variant
14	pmid33508262	Estimating Aerosol Transmission Risk of SARS-CoV-2 in New York City Public Schools During Reopening.	2020-12-30 00:00:00	sars-cov-2 beta variant
86	2020.02.11.944462	Cryo-EM Structure of the 2019-nCoV Spike in the Prefusion Conformation	2020-02-15 00:00:00	sars-cov-2 beta variant
47	2020.07.29.20164251	Effect and safety of combination of interferon alpha-2b and gamma or interferon alpha-2b for negativization of SARS-CoV-2 viral RNA. Preliminary results of a randomized controlled clinical trial.	2020-08-01 00:00:00	sars-cov-2 gamma variant
11	pmid34008961	Ultrafast and Real-Time Nanoplasmonic On-Chip Polymerase Chain Reaction for Rapid and Quantitative Molecular Diagnostics.	2021-05-19 00:00:00	sars-cov-2 lambda variant
90	pmid33443816	The role of SARS-CoV-2 target ACE2 in cardiovascular diseases.	2020-12-03 00:00:00	sars-cov-2 beta variant
93	2021.02.16.21251535	Densely sampled viral trajectories suggest longer duration of acute infection with B.1.1.7 variant relative to non-B.1.1.7 SARS-CoV-2	2021-02-19 00:00:00	lineage b.1.429
34	pmid32586380	Advanced bioinformatics rapidly identifies existing therapeutics for patients with coronavirus disease-2019 (COVID-19).	2020-12-18 00:00:00	sars-cov-2 beta variant
50	2020.04.17.20070219	From Community Acquired Pneumonia to COVID-19: A Deep Learning Based Method for Quantitative Analysis of COVID-19 on thick-section CT Scans	2020-04-23 00:00:00	sars-cov-2 kappa variant
1	2020.05.01.20084384	A Susceptible-Infected-Removed (SIR) model of COVID-19 epidemic trend in Malaysia under Movement Control Order (MCO) using a data fitting approach	2020-05-05 00:00:00	sars-cov-2 beta variant
1	2020.05.01.20084384	A Susceptible-Infected-Removed (SIR) model of COVID-19 epidemic trend in Malaysia under Movement Control Order (MCO) using a data fitting approach	2020-05-05 00:00:00	sars-cov-2 gamma variant
15	2020.07.16.20155903	Epidemiological aspects of COVID-19 disease in India during nationwide lockdown phase- An empirical data-based analysis and its implications on interrupting the transmission	2020-07-17 00:00:00	sars-cov-2 gamma variant
16	pmid32671455	Coagulopathy and thromboembolic events in patients with SARS-CoV-2 infection: pathogenesis and management strategies.	2021-01-10 00:00:00	sars-cov-2 beta variant
16	pmid34137714	[COVID-19 in adults with antibody deficiencies].	2021-06-21 00:00:00	sars-cov-2 gamma variant
87	2021.06.20.21259188	Association between preference and e-learning readiness among the Bangladeshi female nursing students in the Covid-19 pandemic: a cross-sectional study	2021-06-27 00:00:00	sars-cov-2 beta variant
33	pmid33878755	Low Prevalence of Antibodies to SARS-CoV-2 and Undetectable Viral Load in Seropositive Blood Donors from South-Eastern Italy.	2021-04-20 00:00:00	sars-cov-2 beta variant
41	pmid32366695	Site-specific glycan analysis of the SARS-CoV-2 spike.	2020-12-18 00:00:00	sars-cov-2 beta variant
53	2021.02.15.21251753	Severe SARS-CoV-2 infection induces a distinct nasal cytokine profile	2021-02-18 00:00:00	sars-cov-2 beta variant
56	pmid32009128	History is repeating itself: Probable zoonotic spillover as the cause of the 2019 novel Coronavirus Epidemic	2020-04-15 00:00:00	sars-cov-2 beta variant
56	pmid32009128	History is repeating itself: Probable zoonotic spillover as the cause of the 2019 novel Coronavirus Epidemic	2020-04-15 00:00:00	sars-cov-2 gamma variant
56	pmid32009128	History is repeating itself: Probable zoonotic spillover as the cause of the 2019 novel Coronavirus Epidemic	2020-04-15 00:00:00	sars-cov-2 delta variant
86	pmid33758772	A molecular docking study of SARS-CoV-2 main protease against phytochemicals of Boerhavia diffusa Linn. for novel COVID-19 drug discovery.	2021-03-25 00:00:00	sars-cov-2 beta variant
44	pmid34035218	SARS-CoV-2 nucleocapsid protein impairs stress granule formation to promote viral replication.	2021-05-26 00:00:00	sars-cov-2 beta variant
58	pmid33464914	COVID-19 Transmission, Current Treatment, and Future Therapeutic Strategies.	2021-01-19 00:00:00	sars-cov-2 beta variant
22	pmid32919074	Sample pooling for SARS-CoV-2 RT-PCR screening.	2020-09-01 00:00:00	sars-cov-2 kappa variant
25	pmid33324234	Association Between Vitamin D and Novel SARS-CoV-2 Respiratory Dysfunction - A Scoping Review of Current Evidence and Its Implication for COVID-19 Pandemic.	2020-12-17 00:00:00	sars-cov-2 beta variant
50	pmid34126913	Potential Drugs for the Treatment of COVID-19: Synthesis, Brief History and Application.	2021-02-02 00:00:00	sars-cov-2 beta variant
64	pmid32298029	How to Guarantee the Best of Care to Patients with Cancer During the COVID-19 Epidemic: The Italian Experience.	2020-12-18 00:00:00	sars-cov-2 beta variant
74	pmid33191905	A case report of hydroxychloroquine-induced auditory and visual hallucination.	2020-11-18 00:00:00	sars-cov-2 beta variant
0	2020.10.23.20217810	Analytical and clinical evaluation of four anti-SARS-CoV-2 serologic (IgM, IgG, and total) immunoassays	2020-10-27 00:00:00	sars-cov-2 kappa variant
79	pmid33554209	COVID 19 infection: Pediatric perspectives.	2020-12-17 00:00:00	sars-cov-2 gamma variant
31	2020.08.07.241729	Petabase-scale sequence alignment catalyses viral discovery	2020-08-10 00:00:00	sars-cov-2 delta variant
34	pmid33024598	Considerations for future novel human-infecting coronavirus outbreaks.	2020-10-09 00:00:00	sars-cov-2 beta variant
48	pmid32862289	Observer agreement and clinical significance of chest CT reporting in patients suspected of COVID-19.	2020-06-24 00:00:00	sars-cov-2 kappa variant
85	pmid32322535	Socially distanced school-based nutrition program under COVID 19 in the rural Niger Delta.	2020-04-14 00:00:00	sars-cov-2 delta variant
44	pmid34004284	Vaccine-escape and fast-growing mutations in the United Kingdom, the United States, Singapore, Spain, India, and other COVID-19-devastated countries.	2021-04-30 00:00:00	sars-cov-2 gamma variant
53	pmid33071558	Comparison of a rapid immunochromatographic test with a chemiluminescence immunoassay for detection of anti-SARS-CoV-2 IgM and IgG.	2020-12-18 00:00:00	sars-cov-2 kappa variant
74	2021.06.17.21259103	REACT-1 round 12 report: resurgence of SARS-CoV-2 infections in England associated with increased frequency of the Delta variant	2021-06-21 00:00:00	sars-cov-2 delta variant
76	pmid32857671	Coronavirus Disease-2019 Treatment Strategies Targeting Interleukin-6 Signaling and Herbal Medicine.	2020-08-28 00:00:00	sars-cov-2 gamma variant
25	pmid34113178	Commercial Sex Work During Novel Coronavirus (SARS-CoV-2) Era in the Niger Delta Region: Relationships Between Knowledge, Preventive Practice, and Transmission Potential.	2021-06-12 00:00:00	sars-cov-2 delta variant
3	pmid33666147	Lessons learned one year after SARS-CoV-2 emergence leading to COVID-19 pandemic.	2021-03-05 00:00:00	sars-cov-2 beta variant
34	pmid32646815	Assessment of YouTube as an Educational Tool in Teaching Key Indicator Cases in Otolaryngology During the COVID-19 Pandemic and Beyond: Neck Dissection.	2020-06-17 00:00:00	sars-cov-2 kappa variant
49	pmid33607505	COVID-19, HHV6 and MOG antibody: A perfect storm.	2021-02-06 00:00:00	sars-cov-2 gamma variant
13	pmid33066495	Is There a Link between Bisphenol A (BPA), a Key Endocrine Disruptor, and the Risk for SARS-CoV-2 Infection and Severe COVID-19?	2020-10-06 00:00:00	sars-cov-2 gamma variant
31	2021.05.18.444690	Garcinia kola and garcinoic acid suppress SARS-CoV-2 spike glycoprotein S1-induced hyper-inflammation in human PBMCs through inhibition of NF-κB activation	2021-05-19 00:00:00	sars-cov-2 beta variant
31	2021.05.18.444690	Garcinia kola and garcinoic acid suppress SARS-CoV-2 spike glycoprotein S1-induced hyper-inflammation in human PBMCs through inhibition of NF-κB activation	2021-05-19 00:00:00	sars-cov-2 kappa variant
82	pmid33122504	Exoscope-assisted Otologic Surgery During the COVID-19 Pandemic.	2020-10-30 00:00:00	sars-cov-2 beta variant
41	pmid32828694	SARS CoV 2 infection in chronic myelogenous leukemia: Severe hematological presentation.	2020-07-14 00:00:00	sars-cov-2 gamma variant
59	2021.01.28.21250717	Comparative performance of multiplex salivary and commercially available serologic assays to detect SARS-CoV-2 IgG and neutralization titers	2021-02-01 00:00:00	sars-cov-2 kappa variant
72	pmid32374218	Spotlight on avian coronaviruses.	2020-07-01 00:00:00	sars-cov-2 beta variant
72	pmid32374218	Spotlight on avian coronaviruses.	2020-07-01 00:00:00	sars-cov-2 gamma variant
72	pmid32374218	Spotlight on avian coronaviruses.	2020-07-01 00:00:00	sars-cov-2 delta variant
78	pmid32729826	Prescription rates of cardiovascular and diabetes therapies prior to and during the COVID-19 lockdown in Germany.	2020-09-08 00:00:00	sars-cov-2 beta variant
86	pmid34198575	Role of Chest Imaging in Viral Lung Diseases.	2021-06-11 00:00:00	sars-cov-2 beta variant
4	pmid34037417	Genome-wide variation in betacoronaviruses.	2021-05-26 00:00:00	sars-cov-2 beta variant
19	pmid32330303	Characteristics of patients with coronavirus disease (COVID-19) confirmed using an IgM-IgG antibody test.	2021-01-10 00:00:00	sars-cov-2 beta variant
59	pmid32607332	Epidemiological and clinical characteristics of COVID-19 patients in Hengyang, Hunan Province, China.	2020-05-15 00:00:00	sars-cov-2 gamma variant
61	2020.09.14.296715	Self-assembling nanoparticles presenting receptor binding domain and stabilized spike as next-generation COVID-19 vaccines	2020-09-14 00:00:00	sars-cov-2 delta variant
76	pmid33106364	Comparison of the Clinical Performance of the Abbott Alinity IgG, Abbott Architect IgM, and Roche Elecsys Total SARS-CoV-2 Antibody Assays.	2020-10-27 00:00:00	sars-cov-2 kappa variant
84	2020.06.19.160879	Cross-neutralization activity against SARS-CoV-2 is present in currently available intravenous immunoglobulins	2020-06-19 00:00:00	sars-cov-2 gamma variant
45	2020.12.09.20239673	SARS-CoV-2-specific humoral and cellular immunity in renal transplant and haemodialysis patients treated with convalescent plasma	2020-12-11 00:00:00	sars-cov-2 gamma variant
4	pmid33477770	Smartphone and Tablet Usage during COVID-19 Pandemic Confinement in Children under 48 Months in Barcelona (Spain).	2021-01-13 00:00:00	sars-cov-2 gamma variant
30	pmid32645326	Structures of Human Antibodies Bound to SARS-CoV-2 Spike Reveal Common Epitopes and Recurrent Features of Antibodies.	2020-05-27 00:00:00	sars-cov-2 beta variant
49	pmid33292350	An anti-CD6 monoclonal antibody (itolizumab) reduces circulating IL-6 in severe COVID-19 elderly patients.	2020-12-11 00:00:00	sars-cov-2 gamma variant
75	pmid33377145	Evolutionary and codon usage preference insights into spike glycoprotein of SARS-CoV-2.	2020-10-31 00:00:00	sars-cov-2 beta variant
90	2020.09.11.294231	Type I Interferon Limits Viral Dissemination-Driven Clinical Heterogeneity in a Native Murine Betacoronavirus Model of COVID-19	2020-09-12 00:00:00	sars-cov-2 beta variant
91	pmid32729013	Hepatology Consultants Often Disagree on Etiology of Abnormal Liver Biochemistries in COVID-19 but Agree on Management.	2020-09-09 00:00:00	sars-cov-2 kappa variant
21	pmid33987804	Performances, feasibility and acceptability of nasopharyngeal swab, saliva and oral-self sampling swab for the detection of severe acute respiratory syndrome coronavirus 2.	2021-05-14 00:00:00	sars-cov-2 kappa variant
15	pmid34226893	Comparative performance of SARS-CoV-2 lateral flow antigen tests and association with detection of infectious virus in clinical specimens: a single-centre laboratory evaluation study.	2021-07-07 00:00:00	sars-cov-2 alpha variant
29	2021.03.30.21254591	Genomic monitoring unveil the early detection of the SARS-CoV-2 B.1.351 lineage (20H/501Y.V2) in Brazil	2021-04-04 00:00:00	sars-cov-2 beta variant
45	pmid33262359	Targeting the coronavirus SARS-CoV-2: computational insights into the mechanism of action of the protease inhibitors lopinavir, ritonavir and nelfinavir.	2020-12-02 00:00:00	sars-cov-2 beta variant
98	2021.07.06.451329	Investigating the conformational dynamics of SARS-CoV-2 NSP6 protein with emphasis on non-transmembrane 91-112 & 231-290 regions	2021-07-07 00:00:00	sars-cov-2 beta variant
46	2021.02.26.21252555	Introductions and evolutions of SARS-CoV-2 strains in Japan	2021-03-02 00:00:00	sars-cov-2 beta variant
52	2020.12.23.424231	Genomic diversity of SARS-CoV-2 can be accelerated by a mutation in the nsp14 gene	2020-12-26 00:00:00	sars-cov-2 beta variant
52	2020.12.23.424231	Genomic diversity of SARS-CoV-2 can be accelerated by a mutation in the nsp14 gene	2020-12-26 00:00:00	sars-cov-2 gamma variant
52	2020.12.23.424231	Genomic diversity of SARS-CoV-2 can be accelerated by a mutation in the nsp14 gene	2020-12-26 00:00:00	sars-cov-2 delta variant
19	pmid34203435	Man-Specific Lectins from Plants, Fungi, Algae and Cyanobacteria, as Potential Blockers for SARS-CoV, MERS-CoV and SARS-CoV-2 (COVID-19) Coronaviruses: Biomedical Perspectives.	2021-06-06 00:00:00	sars-cov-2 beta variant
36	2020.08.15.20175844	IL-6 and IL-10 as predictors of disease severity in COVID 19 patients: Results from Meta-analysis and Regression	2020-08-17 00:00:00	sars-cov-2 gamma variant
36	2020.08.15.20175844	IL-6 and IL-10 as predictors of disease severity in COVID 19 patients: Results from Meta-analysis and Regression	2020-08-17 00:00:00	sars-cov-2 beta variant
43	pmid32496715	[Etiology of epidemic outbreaks COVID-19 on Wuhan, Hubei province, Chinese People Republic associated with 2019-nCoV (Nidovirales, Coronaviridae, Coronavirinae, Betacoronavirus, Subgenus Sarbecovirus): lessons of SARS-CoV outbreak.]	2020-06-17 00:00:00	sars-cov-2 beta variant
68	pmid33635218	High-dose glucocorticoids pulse-therapy for beta-coronaviridae pneumonia: a systematic literature review and case-series of Coronavirus disease-2019.	2021-02-26 00:00:00	sars-cov-2 beta variant
64	2020.12.13.20248143	Decay of Fc-dependent antibody functions after mild to moderate COVID-19	2020-12-14 00:00:00	sars-cov-2 gamma variant
35	2021.06.22.21259302	Association between SARS-Cov-2 infection during pregnancy and adverse pregnancy outcomes: a re-analysis of data from Wei et al. (2021).	2021-06-25 00:00:00	sars-cov-2 beta variant
45	pmid33770275	The impact of school closure and social isolation on children in vulnerable families during COVID-19: a focus on children's reactions.	2021-03-26 00:00:00	sars-cov-2 beta variant
92	2020.09.25.310078	Sequence Analysis for SNP Detection and Phylogenetic Reconstruction of SARS-CoV-2 Isolated from Nigerian COVID-19 Cases	2020-09-25 00:00:00	sars-cov-2 beta variant
64	pmid33560412	SARS-CoV-2 setting-specific transmission rates: a systematic review and meta-analysis.	2021-02-09 00:00:00	sars-cov-2 beta variant
41	pmid33115670	Ozone therapy in COVID-19: A narrative review.	2020-10-20 00:00:00	sars-cov-2 gamma variant
98	2020.11.17.387092	Mosaic RBD nanoparticles elicit neutralizing antibodies against SARS-CoV-2 and zoonotic coronaviruses	2020-11-17 00:00:00	sars-cov-2 beta variant
87	pmid32921819	The Challenges of Vaccine Development against Betacoronaviruses: Antibody Dependent Enhancement and Sendai Virus as a Possible Vaccine Vector.	2020-06-04 00:00:00	sars-cov-2 beta variant
62	pmid33716085	Artemisia annua L. extracts inhibit the in vitro replication of SARS-CoV-2 and two of its variants.	2021-02-23 00:00:00	sars-cov-2 beta variant
71	pmid34195193	COVID-19 Pathology on Various Organs and Regenerative Medicine and Stem Cell-Based Interventions.	2021-07-02 00:00:00	sars-cov-2 beta variant
3	2021.03.15.435497	Killed whole genome-reduced bacteria surface-expressed coronavirus fusion peptide vaccines protect against disease in a porcine model	2021-03-16 00:00:00	sars-cov-2 gamma variant
3	2021.03.15.435497	Killed whole genome-reduced bacteria surface-expressed coronavirus fusion peptide vaccines protect against disease in a porcine model	2021-03-16 00:00:00	sars-cov-2 beta variant
6	2020.10.16.342097	Duple extinguishment of COVID-19: single compound synergized inhibition of SARS-CoV-2 replication and direct suppression of inflammatory cytokines in vitro/vivo	2020-10-16 00:00:00	sars-cov-2 kappa variant
6	2020.10.16.342097	Duple extinguishment of COVID-19: single compound synergized inhibition of SARS-CoV-2 replication and direct suppression of inflammatory cytokines in vitro/vivo	2020-10-16 00:00:00	sars-cov-2 beta variant
20	pmid34052418	Pathomechanisms, therapeutic targets and potent inhibitors of some beta-coronaviruses from bench-to-bedside.	2021-04-22 00:00:00	sars-cov-2 beta variant
4	pmid33637467	Two patients with rituximab associated low gammaglobulin levels and relapsed covid-19 infections treated with convalescent plasma.	2021-02-09 00:00:00	sars-cov-2 gamma variant
79	2020.06.12.20128736	Nasal-Swab Testing Misses Patients with Low SARS-CoV-2 Viral Loads	2020-06-14 00:00:00	sars-cov-2 kappa variant
75	2020.09.08.20190488	Comparative evaluation of six immunoassays for the detection of antibodies against SARS-CoV-2	2020-09-09 00:00:00	sars-cov-2 kappa variant
89	2020.06.19.20135491	Inhaled corticosteroid use and risk COVID-19 related death among 966,461 patients with COPD or asthma: an OpenSAFELY analysis	2020-06-20 00:00:00	sars-cov-2 beta variant
96	2020.05.28.20115758	An inflammatory cytokine signature helps predict COVID-19 severity and death	2020-05-30 00:00:00	sars-cov-2 beta variant
8	pmid32007145	Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding.	2020-01-26 00:00:00	sars-cov-2 beta variant
66	pmid33320883	Rapid detection of SARS-CoV-2 with CRISPR-Cas12a.	2020-12-17 00:00:00	sars-cov-2 beta variant
96	pmid34041264	Large-Scale Recombinant Production of the SARS-CoV-2 Proteome for High-Throughput and Structural Biology Applications.	2021-05-28 00:00:00	sars-cov-2 beta variant
70	2020.10.14.20212662	Antibody Immunological Imprinting on COVID-19 Patients	2020-10-20 00:00:00	sars-cov-2 beta variant
83	pmid32657643	Identification of potential drugs against SARS-CoV-2 non-structural protein 1 (nsp1).	2020-08-27 00:00:00	sars-cov-2 beta variant
11	2020.12.10.20235747	Human Safety, Tolerability, and Pharmacokinetics of a Novel Broad-Spectrum Oral Antiviral Compound, Molnupiravir, with Activity Against SARS-CoV-2	2020-12-14 00:00:00	sars-cov-2 beta variant
36	pmid32900263	Cross-neutralization activity against SARS-CoV-2 is present in currently available intravenous immunoglobulins.	2020-11-12 00:00:00	sars-cov-2 gamma variant
38	2021.04.17.21255656	Rapid detection of SARS CoV-2 N501Y mutation in clinical samples	2021-04-20 00:00:00	sars-cov-2 gamma variant
45	pmid33303923	In vitro virucidal activity of povidone iodine gargle and mouthwash against SARS-CoV-2: implications for dental practice.	2020-12-11 00:00:00	sars-cov-2 beta variant
47	2021.06.18.21258649	Large-scale screening of asymptomatic for SARS-CoV-2 variants of concern and rapid P.1 takeover, Curitiba, Brazil	2021-06-21 00:00:00	sars-cov-2 gamma variant
86	pmid32854262	The Antiviral, Anti-Inflammatory Effects of Natural Medicinal Herbs and Mushrooms and SARS-CoV-2 Infection.	2020-08-14 00:00:00	sars-cov-2 beta variant
12	2021.06.19.21258779	A physically plausible incidence rate for compartmental epidemiological models	2021-06-22 00:00:00	sars-cov-2 beta variant
37	pmid34166623	Analysis of SARS-CoV-2 variant mutations reveals neutralization escape mechanisms and the ability to use ACE2 receptors from additional species.	2021-05-23 00:00:00	sars-cov-2 beta variant
37	pmid34166623	Analysis of SARS-CoV-2 variant mutations reveals neutralization escape mechanisms and the ability to use ACE2 receptors from additional species.	2021-05-23 00:00:00	sars-cov-2 gamma variant
51	pmid33254633	Insights into chemical composition, abatement mechanisms and regional transport of atmospheric pollutants in the Yangtze River Delta region, China during the COVID-19 outbreak control period.	2020-09-02 00:00:00	sars-cov-2 delta variant
